EXP HEAD,DEPT,SCHOOL,SCHOOL CODE,DESCRIPTION,YEAR,VALUE
DA4550,A60,MILLBURN ACADEMY,GEOGRAPHY,CLASSROOM SUPPLIES,1516,1597.11
DD3001,A60,MILLBURN ACADEMY,GEOGRAPHY,PHOTOCOPY NO OF COPIES CHG,1516,589.34
DF4001,A60,MILLBURN ACADEMY,GEOGRAPHY,ICT CHARGES CORE SUPPLIER,1516,111.38
DA4550,A61,MILLBURN ACADEMY,HISTORY,CLASSROOM SUPPLIES,1516,1528.09
DD3001,A61,MILLBURN ACADEMY,HISTORY,PHOTOCOPY NO OF COPIES CHG,1516,778.72
DF4001,A61,MILLBURN ACADEMY,HISTORY,ICT CHARGES CORE SUPPLIER,1516,134.26
DA4556,A62,MILLBURN ACADEMY,HOME EC,HOME ECONOMICS SUPPLIES,1516,3138.09
DD3001,A62,MILLBURN ACADEMY,HOME EC,PHOTOCOPY NO OF COPIES CHG,1516,443.9
DF4001,A62,MILLBURN ACADEMY,HOME EC,ICT CHARGES CORE SUPPLIER,1516,180.34
DD3001,A63,MILLBURN ACADEMY,LATIN,PHOTOCOPY NO OF COPIES CHG,1516,47.83
DA4550,A64,MILLBURN ACADEMY,LRN SUP,CLASSROOM SUPPLIES,1516,1494.86
DD3001,A64,MILLBURN ACADEMY,LRN SUP,PHOTOCOPY NO OF COPIES CHG,1516,198.04
DF4001,A64,MILLBURN ACADEMY,LRN SUP,ICT CHARGES CORE SUPPLIER,1516,493.27
DA4550,A65,MILLBURN ACADEMY,LIBRARY,CLASSROOM SUPPLIES,1516,312.78
DD3001,A65,MILLBURN ACADEMY,LIBRARY,PHOTOCOPY NO OF COPIES CHG,1516,42.64
DF4001,A65,MILLBURN ACADEMY,LIBRARY,ICT CHARGES CORE SUPPLIER,1516,36.73
DA4550,A66,MILLBURN ACADEMY,MATHS,CLASSROOM SUPPLIES,1516,4044.11
DD3001,A66,MILLBURN ACADEMY,MATHS,PHOTOCOPY NO OF COPIES CHG,1516,634.03
DF4001,A66,MILLBURN ACADEMY,MATHS,ICT CHARGES CORE SUPPLIER,1516,265.86
DA4550,A67,MILLBURN ACADEMY,MOD LANG,CLASSROOM SUPPLIES,1516,1472.6
DD3001,A67,MILLBURN ACADEMY,MOD LANG,PHOTOCOPY NO OF COPIES CHG,1516,718.73
DF4001,A67,MILLBURN ACADEMY,MOD LANG,ICT CHARGES CORE SUPPLIER,1516,253.38
DD3001,A68,MILLBURN ACADEMY,MOD STD,PHOTOCOPY NO OF COPIES CHG,1516,0.33
DA4554,A69,MILLBURN ACADEMY,MUSIC & DRAMA,MUSICAL SUPPLIES,1516,1474.8
DD3001,A69,MILLBURN ACADEMY,MUSIC & DRAMA,PHOTOCOPY NO OF COPIES CHG,1516,434.85
DF4001,A69,MILLBURN ACADEMY,MUSIC & DRAMA,ICT CHARGES CORE SUPPLIER,1516,207.21
DA4553,A70,MILLBURN ACADEMY,PE,PE SUPPLIES,1516,2954.59
DD3001,A70,MILLBURN ACADEMY,PE,PHOTOCOPY NO OF COPIES CHG,1516,362.27
DF4001,A70,MILLBURN ACADEMY,PE,ICT CHARGES CORE SUPPLIER,1516,212.89
DA4555,A71,MILLBURN ACADEMY,PHYSICS,SCIENTIFIC SUPPLIES,1516,162.56
DD3001,A71,MILLBURN ACADEMY,PHYSICS,PHOTOCOPY NO OF COPIES CHG,1516,248.3
DA4550,A72,MILLBURN ACADEMY,PRS SOC DEV,CLASSROOM SUPPLIES,1516,488.8
DD3001,A72,MILLBURN ACADEMY,PRS SOC DEV,PHOTOCOPY NO OF COPIES CHG,1516,261.43
DA4550,A73,MILLBURN ACADEMY,RELIGIOUS,CLASSROOM SUPPLIES,1516,1031.58
DD3001,A73,MILLBURN ACADEMY,RELIGIOUS,PHOTOCOPY NO OF COPIES CHG,1516,899.49
DF4001,A73,MILLBURN ACADEMY,RELIGIOUS,ICT CHARGES CORE SUPPLIER,1516,108.28
DA4555,A74,MILLBURN ACADEMY,SCIENCE S1,SCIENTIFIC SUPPLIES,1516,17.21
DD3001,A74,MILLBURN ACADEMY,SCIENCE S1,PHOTOCOPY NO OF COPIES CHG,1516,220.87
DA4555,A75,MILLBURN ACADEMY,SCIENCE S2,SCIENTIFIC SUPPLIES,1516,95.53
DD3001,A75,MILLBURN ACADEMY,SCIENCE S2,PHOTOCOPY NO OF COPIES CHG,1516,188.58
DD3001,A76,MILLBURN ACADEMY,SCIENCE SG,PHOTOCOPY NO OF COPIES CHG,1516,240.58
DA4555,A77,MILLBURN ACADEMY,SCI COM STOCK,SCIENTIFIC SUPPLIES,1516,2880.69
DF4001,A77,MILLBURN ACADEMY,SCI COM STOCK,ICT CHARGES CORE SUPPLIER,1516,473.66
DA4552,A79,MILLBURN ACADEMY,TECHNICAL,WOOD/METALWORK SUPPLIES,1516,5868.45
DD3001,A79,MILLBURN ACADEMY,TECHNICAL,PHOTOCOPY NO OF COPIES CHG,1516,226.49
DF4001,A79,MILLBURN ACADEMY,TECHNICAL,ICT CHARGES CORE SUPPLIER,1516,494.9
DD2000,A81,MILLBURN ACADEMY,REPROGRAPHICS,STATIONERY,1516,2091.29
DD3001,A81,MILLBURN ACADEMY,REPROGRAPHICS,PHOTOCOPY NO OF COPIES CHG,1516,-9323.6
DD3003,A81,MILLBURN ACADEMY,REPROGRAPHICS,MPS COSTS MONO,1516,11282.59
DA4550,A82,MILLBURN ACADEMY,HEALTH ED,CLASSROOM SUPPLIES,1516,9215.32
DA4550,A83,MILLBURN ACADEMY,GUIDANCE,CLASSROOM SUPPLIES,1516,175.7
DD3001,A83,MILLBURN ACADEMY,GUIDANCE,PHOTOCOPY NO OF COPIES CHG,1516,12.46
DF4001,A83,MILLBURN ACADEMY,GUIDANCE,ICT CHARGES CORE SUPPLIER,1516,258.08
DA4556,A84,MILLBURN ACADEMY,HOME EC FOOD,HOME ECONOMICS SUPPLIES,1516,5944.16
DA1000,A88,MILLBURN ACADEMY,CONTINGENCY,EQUIPMENT PURCHASE,1516,-500.5
DA4550,A88,MILLBURN ACADEMY,CONTINGENCY,CLASSROOM SUPPLIES,1516,16247.42
DF4001,A88,MILLBURN ACADEMY,CONTINGENCY,ICT CHARGES CORE SUPPLIER,1516,2530.0
FA3000,A94,MILLBURN ACADEMY,CFE FROM L&T,PROJECT FUNDS FOR SCHOOLS,1516,16060.24
FA3000,A95,MILLBURN ACADEMY,SKILLS FOR WRK,PROJECT FUNDS FOR SCHOOLS,1516,-14.02
AA1001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,APT&C BASIC PAY,1718,36529.9
AA1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TEACHERS PERMANENT BASIC PAY,1718,659892.47
AA1101,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPPLY COVER BASIC PAY,1718,16744.06
AA1110,A10,KINLOCHLEVEN HIGH SCHOOL,EM,LABORATORY TECH'N BASIC PAY,1718,14541.84
AB1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,NI NONTEACHERS,1718,3311.61
AB1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,NI PERMANENT TEACHERS,1718,69972.29
AB1101,A10,KINLOCHLEVEN HIGH SCHOOL,EM,NI SUPPLY COVER,1718,2038.86
AC1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPERANN NON TEACHERS,1718,8656.93
AC1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPERANN PERMANENT TEACHERS,1718,112984.44
AC1101,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPERANN SUPPLY COVER,1718,3476.53
AD1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,EXTERNAL HIRED LABOUR,1718,19909.6
AE1600,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MISCELLANEOUS,1718,106.0
AH1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TRAINING COURSES,1718,3578.9
AH1001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,EXTRA QUALIFICATION COURSE/BA,1718,479.0
AH1010,A10,KINLOCHLEVEN HIGH SCHOOL,EM,STAFF DEVELOPMENT,1718,308.5
AS1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,APPRENTICESHIP LEVY COST,1718,3649.64
BA3000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MAINT CLIENT EXTERNAL PARTIES,1718,183.1
CA1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,DERV,1718,887.14
CB1006,A10,KINLOCHLEVEN HIGH SCHOOL,EM,INT HIRE CONT CHG FROM FLEET,1718,3554.07
CB1007,A10,KINLOCHLEVEN HIGH SCHOOL,EM,VEHICLE MAINT O/CHG FROM FLEET,1718,67.5
CC1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,EDUCATIONAL TRAVEL,1718,3213.04
CC2000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,CAR HIRE,1718,645.99
CC2020,A10,KINLOCHLEVEN HIGH SCHOOL,EM,CARRIAGE/FREIGHT,1718,132.46
CD1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,FARES,1718,649.19
CF1003,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TRAVEL MILEAGE TAXABLE,1718,224.1
CF1004,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TRAVEL MILEAGE NON TAXABLE,1718,2949.49
CF1006,A10,KINLOCHLEVEN HIGH SCHOOL,EM,PARKING,1718,129.97
DA1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,EQUIPMENT PURCHASE,1718,4721.33
DA4000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MATERIALS,1718,689.67
DA4010,A10,KINLOCHLEVEN HIGH SCHOOL,EM,GARDEN/HORTICULTURAL SUPPLIES,1718,36.0
DA4550,A10,KINLOCHLEVEN HIGH SCHOOL,EM,CLASSROOM SUPPLIES,1718,1872.55
DA4556,A10,KINLOCHLEVEN HIGH SCHOOL,EM,HOME ECONOMICS SUPPLIES,1718,159.52
DB3010,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MEALS&HOSPITALITY,1718,327.0
DC3000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,CLOTHING NON STAFF,1718,319.5
DD1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,PRINTING,1718,150.0
DD2000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,STATIONERY,1718,379.4
DD3001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,PHOTOCOPY NO OF COPIES CHG,1718,753.08
DD3003,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MPS COSTS MONO,1718,1773.84
DD3004,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MPS COSTS COLOUR,1718,1522.0
DD4001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,BOOKS TEXT BOOKS/STATIONERY,1718,1291.5
DF1001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,COMPUTER SUPPLIES PURCHASE,1718,282.04
DF4001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,ICT CHARGES CORE SUPPLIER,1718,538.45
DF7000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,POSTAGES,1718,111.33
DF9000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,LANDLINE TELEPHONES RENTAL,1718,441.77
DG1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,ACCOMMODATION,1718,2963.48
DG1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TRAINING ACCOMMODATION,1718,817.3
DG3200,A10,KINLOCHLEVEN HIGH SCHOOL,EM,INSURANCE EXPENDITURE,1718,86.6
DG4000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUBSISTENCE,1718,67.59
DH3100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUBSCRIPTIONS TO ORGANISATIONS,1718,285.0
DK9500,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MISCELLANEOUS SUPPLIES,1718,3132.94
EE1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,PAYMENT GOVT DEPT/AGENCY SERVS,1718,78.0
EE1200,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SCOTT QUALIFICATIONS AUTHORITY,1718,13830.95
KC1936,A10,KINLOCHLEVEN HIGH SCHOOL,EM,OTHER FEES/CHARGES,1718,-196.0
KC9500,A10,KINLOCHLEVEN HIGH SCHOOL,EM,OTHER MISC INCOME,1718,256.65
KG3000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SALESLAND/BUILDING,1718,224.0
XH1050,A10,KINLOCHLEVEN HIGH SCHOOL,EM,REVENUE ACCOUNT BALANCE,1718,-32124.65
DA4550,A11,KINLOCHLEVEN HIGH SCHOOL,ADMIN,CLASSROOM SUPPLIES,1718,8961.7
DD2000,A11,KINLOCHLEVEN HIGH SCHOOL,ADMIN,STATIONERY,1718,1762.77
DD4001,A11,KINLOCHLEVEN HIGH SCHOOL,ADMIN,BOOKS TEXT BOOKS/STATIONERY,1718,60.84
FA3000,A21,KINLOCHLEVEN HIGH SCHOOL,ADD FUNDS,PROJECT FUNDS FOR SCHOOLS,1718,150.0
KE3000,A21,KINLOCHLEVEN HIGH SCHOOL,ADD FUNDS,INCOME FROM WITHIN HLAND CNCL,1718,-1221.0
DA4550,A50,KINLOCHLEVEN HIGH SCHOOL,ART,CLASSROOM SUPPLIES,1718,218.17
DA4551,A50,KINLOCHLEVEN HIGH SCHOOL,ART,ART&CRAFT SUPPLIES,1718,998.87
DA4550,A51,KINLOCHLEVEN HIGH SCHOOL,BIOLOGY,CLASSROOM SUPPLIES,1718,137.95
DA4555,A51,KINLOCHLEVEN HIGH SCHOOL,BIOLOGY,SCIENTIFIC SUPPLIES,1718,19.82
DA4550,A52,KINLOCHLEVEN HIGH SCHOOL,BUSINESS,CLASSROOM SUPPLIES,1718,183.61
DD4001,A52,KINLOCHLEVEN HIGH SCHOOL,BUSINESS,BOOKS TEXT BOOKS/STATIONERY,1718,194.2
DA4550,A54,KINLOCHLEVEN HIGH SCHOOL,CHEMISTRY,CLASSROOM SUPPLIES,1718,219.4
DA4555,A54,KINLOCHLEVEN HIGH SCHOOL,CHEMISTRY,SCIENTIFIC SUPPLIES,1718,122.62
DA4550,A57,KINLOCHLEVEN HIGH SCHOOL,COMPUTING,CLASSROOM SUPPLIES,1718,93.9
DA4550,A58,KINLOCHLEVEN HIGH SCHOOL,ENGLISH,CLASSROOM SUPPLIES,1718,114.26
DD4001,A58,KINLOCHLEVEN HIGH SCHOOL,ENGLISH,BOOKS TEXT BOOKS/STATIONERY,1718,473.34
DA4550,A60,KINLOCHLEVEN HIGH SCHOOL,GEOGRAPHY,CLASSROOM SUPPLIES,1718,210.85
DD4001,A60,KINLOCHLEVEN HIGH SCHOOL,GEOGRAPHY,BOOKS TEXT BOOKS/STATIONERY,1718,33.87
DA4550,A61,KINLOCHLEVEN HIGH SCHOOL,HISTORY,CLASSROOM SUPPLIES,1718,131.18
DD4001,A61,KINLOCHLEVEN HIGH SCHOOL,HISTORY,BOOKS TEXT BOOKS/STATIONERY,1718,66.24
DA4556,A62,KINLOCHLEVEN HIGH SCHOOL,HOME EC,HOME ECONOMICS SUPPLIES,1718,346.36
DD4001,A62,KINLOCHLEVEN HIGH SCHOOL,HOME EC,BOOKS TEXT BOOKS/STATIONERY,1718,60.78
DA4550,A64,KINLOCHLEVEN HIGH SCHOOL,LRN SUP,CLASSROOM SUPPLIES,1718,59.0
DA4550,A66,KINLOCHLEVEN HIGH SCHOOL,MATHS,CLASSROOM SUPPLIES,1718,39.0
DD4001,A66,KINLOCHLEVEN HIGH SCHOOL,MATHS,BOOKS TEXT BOOKS/STATIONERY,1718,71.97
DD4001,A67,KINLOCHLEVEN HIGH SCHOOL,MOD LANG,BOOKS TEXT BOOKS/STATIONERY,1718,41.76
DA4554,A69,KINLOCHLEVEN HIGH SCHOOL,MUSIC & DRAMA,MUSICAL SUPPLIES,1718,38.67
DA4550,A71,KINLOCHLEVEN HIGH SCHOOL,PHYSICS,CLASSROOM SUPPLIES,1718,106.31
DA4555,A71,KINLOCHLEVEN HIGH SCHOOL,PHYSICS,SCIENTIFIC SUPPLIES,1718,223.15
DD4001,A71,KINLOCHLEVEN HIGH SCHOOL,PHYSICS,BOOKS TEXT BOOKS/STATIONERY,1718,223.13
DA4555,A74,KINLOCHLEVEN HIGH SCHOOL,SCIENCE S1,SCIENTIFIC SUPPLIES,1718,42.85
DA4550,A76,KINLOCHLEVEN HIGH SCHOOL,SCIENCE SG,CLASSROOM SUPPLIES,1718,36.65
DA4550,A79,KINLOCHLEVEN HIGH SCHOOL,TECHNICAL,CLASSROOM SUPPLIES,1718,-10.5
DD4001,A96,KINLOCHLEVEN HIGH SCHOOL,GOV INITIATIVES,BOOKS TEXT BOOKS/STATIONERY,1718,16.0
KA3000,A96,KINLOCHLEVEN HIGH SCHOOL,GOV INITIATIVES,GOVT GRANTS SPECIFIC GRANTS,1718,-16.0
DA4000,A97,KINLOCHLEVEN HIGH SCHOOL,INNOVATION FUNDING,MATERIALS,1718,185.87
AE1600,PEF,KINLOCHLEVEN HIGH SCHOOL,PEF,MISCELLANEOUS,1718,763.57
EF1003,PEF,KINLOCHLEVEN HIGH SCHOOL,PEF,VOLUNTARY ASSOCS/OTHER BODIES,1718,7636.0
KA3000,PEF,KINLOCHLEVEN HIGH SCHOOL,PEF,GOVT GRANTS SPECIFIC GRANTS,1718,-8399.57
AA1001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,APT&C BASIC PAY,1617,37590.48
AA1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TEACHERS PERMANENT BASIC PAY,1617,629660.55
AA1101,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPPLY COVER BASIC PAY,1617,29536.57
AA1110,A10,KINLOCHLEVEN HIGH SCHOOL,EM,LABORATORY TECH'N BASIC PAY,1617,14378.04
AB1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,NI NONTEACHERS,1617,4372.92
AB1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,NI PERMANENT TEACHERS,1617,68690.29
AB1101,A10,KINLOCHLEVEN HIGH SCHOOL,EM,NI SUPPLY COVER,1617,2304.78
AC1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPERANN NON TEACHERS,1617,9873.96
AC1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPERANN PERMANENT TEACHERS,1617,107700.83
AC1101,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPERANN SUPPLY COVER,1617,4673.13
AD1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,EXTERNAL HIRED LABOUR,1617,10699.0
AH1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TRAINING COURSES,1617,184.0
AH1010,A10,KINLOCHLEVEN HIGH SCHOOL,EM,STAFF DEVELOPMENT,1617,1115.24
CA1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,DERV,1617,1016.11
CB1006,A10,KINLOCHLEVEN HIGH SCHOOL,EM,INT HIRE CONT CHG FROM FLEET,1617,1619.56
CC1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,EDUCATIONAL TRAVEL,1617,7660.13
CC2000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,CAR HIRE,1617,49.5
CD1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,FARES,1617,255.46
CF1003,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TRAVEL MILEAGE TAXABLE,1617,534.13
CF1004,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TRAVEL MILEAGE NON TAXABLE,1617,2721.68
CF1006,A10,KINLOCHLEVEN HIGH SCHOOL,EM,PARKING,1617,30.0
DA1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,EQUIPMENT PURCHASE,1617,17.97
DA3000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,FILM HIRE,1617,107.5
DA4010,A10,KINLOCHLEVEN HIGH SCHOOL,EM,GARDEN/HORTICULTURAL SUPPLIES,1617,41.0
DA4550,A10,KINLOCHLEVEN HIGH SCHOOL,EM,CLASSROOM SUPPLIES,1617,1034.32
DA4556,A10,KINLOCHLEVEN HIGH SCHOOL,EM,HOME ECONOMICS SUPPLIES,1617,605.32
DB3010,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MEALS&HOSPITALITY,1617,172.13
DD1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,PRINTING,1617,51.41
DD2000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,STATIONERY,1617,50.33
DD3001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,PHOTOCOPY NO OF COPIES CHG,1617,2127.33
DD3003,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MPS COSTS MONO,1617,2111.79
DD3004,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MPS COSTS COLOUR,1617,2159.85
DD4001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,BOOKS TEXT BOOKS/STATIONERY,1617,25.52
DF4001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,ICT CHARGES CORE SUPPLIER,1617,1113.52
DF7000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,POSTAGES,1617,358.44
DF9000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,LANDLINE TELEPHONES RENTAL,1617,292.87
DG1000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,ACCOMMODATION,1617,959.9
DG1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TRAINING ACCOMMODATION,1617,461.26
DG4000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUBSISTENCE,1617,14.1
DK9500,A10,KINLOCHLEVEN HIGH SCHOOL,EM,MISCELLANEOUS SUPPLIES,1617,409.26
EE1200,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SCOTT QUALIFICATIONS AUTHORITY,1617,13706.25
FA3000,A10,KINLOCHLEVEN HIGH SCHOOL,EM,PROJECT FUNDS FOR SCHOOLS,1617,997.96
KC1936,A10,KINLOCHLEVEN HIGH SCHOOL,EM,OTHER FEES/CHARGES,1617,-588.0
XH1050,A10,KINLOCHLEVEN HIGH SCHOOL,EM,REVENUE ACCOUNT BALANCE,1617,-49865.35
DA4550,A11,KINLOCHLEVEN HIGH SCHOOL,ADMIN,CLASSROOM SUPPLIES,1617,11337.76
DD2000,A11,KINLOCHLEVEN HIGH SCHOOL,ADMIN,STATIONERY,1617,537.19
DD4001,A11,KINLOCHLEVEN HIGH SCHOOL,ADMIN,BOOKS TEXT BOOKS/STATIONERY,1617,-1.2
KB1002,A11,KINLOCHLEVEN HIGH SCHOOL,ADMIN,DONATIONS/SPONSORSHIP,1617,-100.0
AH1000,A21,KINLOCHLEVEN HIGH SCHOOL,ADD FUNDS,TRAINING COURSES,1617,1100.0
DA1000,A21,KINLOCHLEVEN HIGH SCHOOL,ADD FUNDS,EQUIPMENT PURCHASE,1617,204.79
FA3000,A21,KINLOCHLEVEN HIGH SCHOOL,ADD FUNDS,PROJECT FUNDS FOR SCHOOLS,1617,-1337.6
CC1000,A41,KINLOCHLEVEN HIGH SCHOOL,DTS,EDUCATIONAL TRAVEL,1617,682.89
DA4551,A50,KINLOCHLEVEN HIGH SCHOOL,ART,ART&CRAFT SUPPLIES,1617,402.29
DA4550,A51,KINLOCHLEVEN HIGH SCHOOL,BIOLOGY,CLASSROOM SUPPLIES,1617,161.05
DA4555,A51,KINLOCHLEVEN HIGH SCHOOL,BIOLOGY,SCIENTIFIC SUPPLIES,1617,225.84
DD4001,A51,KINLOCHLEVEN HIGH SCHOOL,BIOLOGY,BOOKS TEXT BOOKS/STATIONERY,1617,56.23
DA4550,A52,KINLOCHLEVEN HIGH SCHOOL,BUSINESS,CLASSROOM SUPPLIES,1617,255.01
DD4001,A52,KINLOCHLEVEN HIGH SCHOOL,BUSINESS,BOOKS TEXT BOOKS/STATIONERY,1617,95.9
DA4550,A54,KINLOCHLEVEN HIGH SCHOOL,CHEMISTRY,CLASSROOM SUPPLIES,1617,34.57
DA4555,A54,KINLOCHLEVEN HIGH SCHOOL,CHEMISTRY,SCIENTIFIC SUPPLIES,1617,243.96
DA4550,A58,KINLOCHLEVEN HIGH SCHOOL,ENGLISH,CLASSROOM SUPPLIES,1617,67.8
DD4001,A58,KINLOCHLEVEN HIGH SCHOOL,ENGLISH,BOOKS TEXT BOOKS/STATIONERY,1617,375.96
DA4550,A60,KINLOCHLEVEN HIGH SCHOOL,GEOGRAPHY,CLASSROOM SUPPLIES,1617,183.47
DD4001,A60,KINLOCHLEVEN HIGH SCHOOL,GEOGRAPHY,BOOKS TEXT BOOKS/STATIONERY,1617,59.95
DA4556,A62,KINLOCHLEVEN HIGH SCHOOL,HOME EC,HOME ECONOMICS SUPPLIES,1617,204.4
DA4550,A66,KINLOCHLEVEN HIGH SCHOOL,MATHS,CLASSROOM SUPPLIES,1617,119.64
DD4001,A66,KINLOCHLEVEN HIGH SCHOOL,MATHS,BOOKS TEXT BOOKS/STATIONERY,1617,253.2
DA4550,A67,KINLOCHLEVEN HIGH SCHOOL,MOD LANG,CLASSROOM SUPPLIES,1617,80.41
DD4001,A67,KINLOCHLEVEN HIGH SCHOOL,MOD LANG,BOOKS TEXT BOOKS/STATIONERY,1617,3.95
DA4554,A69,KINLOCHLEVEN HIGH SCHOOL,MUSIC & DRAMA,MUSICAL SUPPLIES,1617,189.48
DD4001,A70,KINLOCHLEVEN HIGH SCHOOL,PE,BOOKS TEXT BOOKS/STATIONERY,1617,428.79
DA4550,A71,KINLOCHLEVEN HIGH SCHOOL,PHYSICS,CLASSROOM SUPPLIES,1617,117.47
DA4555,A71,KINLOCHLEVEN HIGH SCHOOL,PHYSICS,SCIENTIFIC SUPPLIES,1617,108.54
DD4001,A71,KINLOCHLEVEN HIGH SCHOOL,PHYSICS,BOOKS TEXT BOOKS/STATIONERY,1617,80.0
DA4555,A74,KINLOCHLEVEN HIGH SCHOOL,SCIENCE S1,SCIENTIFIC SUPPLIES,1617,121.15
DA4550,A76,KINLOCHLEVEN HIGH SCHOOL,SCIENCE SG,CLASSROOM SUPPLIES,1617,29.5
DD4001,A78,KINLOCHLEVEN HIGH SCHOOL,SCI TECHNCN,BOOKS TEXT BOOKS/STATIONERY,1617,11.55
DA4550,A79,KINLOCHLEVEN HIGH SCHOOL,TECHNICAL,CLASSROOM SUPPLIES,1617,708.51
DA4552,A79,KINLOCHLEVEN HIGH SCHOOL,TECHNICAL,WOOD/METALWORK SUPPLIES,1617,83.32
DA1000,A96,KINLOCHLEVEN HIGH SCHOOL,GOV INITIATIVES,EQUIPMENT PURCHASE,1617,35.0
AH1000,A97,KINLOCHLEVEN HIGH SCHOOL,INNOVATION FUNDING,TRAINING COURSES,1617,1173.94
DA1000,A97,KINLOCHLEVEN HIGH SCHOOL,INNOVATION FUNDING,EQUIPMENT PURCHASE,1617,9414.01
KA3000,A97,KINLOCHLEVEN HIGH SCHOOL,INNOVATION FUNDING,GOVT GRANTS SPECIFIC GRANTS,1617,-10000.0
AA1001,A10,KINLOCHLEVEN HIGH SCHOOL,EM,APT&C BASIC PAY,1819,36218.76
AA1100,A10,KINLOCHLEVEN HIGH SCHOOL,EM,TEACHERS PERMANENT BASIC PAY,1819,738871.57
AA1101,A10,KINLOCHLEVEN HIGH SCHOOL,EM,SUPPLY COVER BASIC PAY,1819,-19759.87
AA1103,A10,KINLOCHLEVEN HIGH SCHOOL,EM,AUX STAFF EDUCATION BASIC PAY,1819,494.59
AA1110,A10,KINLOCHLEVEN HIGH SCHOOL,EM,LABORATORY TECH'N BASIC PAY,1819,9696.08
