SEEDCODE,LOCAL AUTHORITY,SCHOOL TYPE,SCHOOL,TEACHERS,PUPIL ROLL,ASN PUPILS,ATTENDANCE RATE,YEAR
5146224,HIGHLAND,PRIMARY,KINGUSSIE PRIMARY,5.5,75,39,94.57,1819
5108322,HIGHLAND,PRIMARY,KINLOCHBERVIE PRIMARY,4.2,23,10,92.15,1819
5116023,HIGHLAND,PRIMARY,KINLOCHEWE PRIMARY,1.3,4,,,1819
5135427,HIGHLAND,PRIMARY,KINLOCHLEVEN PRIMARY,3.8,58,25,94.82,1819
5142229,HIGHLAND,PRIMARY,KINMYLIES PRIMARY,16.0,301,126,93.99,1819
5142326,HIGHLAND,PRIMARY,KIRKHILL PRIMARY,9.3,155,54,95.75,1819
5126924,HIGHLAND,PRIMARY,KNOCKBRECK PRIMARY DUNVEGAN,1.2,11,,94.59,1819
5118328,HIGHLAND,PRIMARY,KNOCKBRECK PRIMARY TAIN,9.3,186,55,94.17,1819
5123127,HIGHLAND,PRIMARY,KYLE PRIMARY,2.8,40,18,92.57,1819
5127025,HIGHLAND,PRIMARY,KYLEAKIN PRIMARY,2.7,23,8,95.51,1819
5134625,HIGHLAND,PRIMARY,LADY LOVAT PRIMARY,2.8,18,,97.85,1819
5109922,HIGHLAND,PRIMARY,LAIRG PRIMARY,3.8,49,17,95.32,1819
5122821,HIGHLAND,PRIMARY,LOCH DUICH PRIMARY,1.6,14,,96.59,1819
5131227,HIGHLAND,PRIMARY,LOCHALINE PRIMARY,1.9,16,,97.87,1819
5140323,HIGHLAND,PRIMARY,LOCHARDIL PRIMARY,17.9,347,100,96.34,1819
5116120,HIGHLAND,PRIMARY,LOCHCARRON PRIMARY,3.6,51,13,95.47,1819
5109728,HIGHLAND,PRIMARY,LOCHINVER PRIMARY,2.0,28,6,92.82,1819
1003224,HIGHLAND,PRIMARY,LUNDAVRA PRIMARY,10.7,204,94,93.72,1819
5100925,HIGHLAND,PRIMARY,LYBSTER PRIMARY,6.2,81,24,95.76,1819
5127122,HIGHLAND,PRIMARY,MACDIARMID PRIMARY,2.1,27,11,93.61,1819
5136423,HIGHLAND,PRIMARY,MALLAIG PRIMARY,5.1,54,14,94.88,1819
5116325,HIGHLAND,PRIMARY,MARYBANK PRIMARY,1.5,22,,96.22,1819
5110122,HIGHLAND,PRIMARY,MELVICH PRIMARY,3.8,30,8,96.19,1819
5140420,HIGHLAND,PRIMARY,MERKINCH PRIMARY,21.0,292,192,90.47,1819
5153026,HIGHLAND,PRIMARY,MILLBANK PRIMARY,18.1,272,92,94.2,1819
5101328,HIGHLAND,PRIMARY,MILLER ACADEMY PRIMARY,15.5,221,46,94.87,1819
5120624,HIGHLAND,PRIMARY,MILTON PRIMARY,6.1,75,53,91.38,1819
5101620,HIGHLAND,PRIMARY,MILTON OF LEYS PRIMARY,17.1,353,163,95.01,1819
5101425,HIGHLAND,PRIMARY,MOUNT PLEASANT PRIMARY,12.5,204,49,94.49,1819
5136628,HIGHLAND,PRIMARY,MUCK PRIMARY,1.5,5,,,1819
5143322,HIGHLAND,PRIMARY,MUIRTOWN PRIMARY,10.4,216,76,95.76,1819
5116627,HIGHLAND,PRIMARY,MULBUIE PRIMARY,2.6,42,13,96.59,1819
5116724,HIGHLAND,PRIMARY,MUNLOCHY PRIMARY,4.9,78,31,95.0,1819
5116929,HIGHLAND,PRIMARY,NEWMORE PRIMARY,2.3,36,28,95.08,1819
1003496,HIGHLAND,PRIMARY,NEWTON PARK PRIMARY,17.4,338,101,94.82,1819
5145929,HIGHLAND,PRIMARY,NEWTONMORE PRIMARY,7.0,103,51,93.48,1819
5114721,HIGHLAND,PRIMARY,NORTH KESSOCK PRIMARY,8.8,131,40,94.8,1819
1003526,HIGHLAND,PRIMARY,NOSS PRIMARY,19.4,337,92,94.74,1819
5117224,HIGHLAND,PRIMARY,OBSDALE PRIMARY,7.5,111,61,91.04,1819
5120527,HIGHLAND,PRIMARY,PARK PRIMARY SCHOOL,10.2,180,93,91.81,1819
5101026,HIGHLAND,PRIMARY,PENNYLAND PRIMARY,9.6,223,48,94.48,1819
5123526,HIGHLAND,PRIMARY,PLOCKTON PRIMARY,3.3,25,8,94.43,1819
5117429,HIGHLAND,PRIMARY,POOLEWE PRIMARY,3.1,22,8,91.86,1819
5128722,HIGHLAND,PRIMARY,PORTREE PRIMARY,10.6,158,54,95.27,1819
5127424,HIGHLAND,PRIMARY,RAASAY PRIMARY,1.4,6,,97.48,1819
5140625,HIGHLAND,PRIMARY,RAIGMORE PRIMARY,13.3,209,111,92.81,1819
5101123,HIGHLAND,PRIMARY,REAY PRIMARY,2.7,37,7,92.85,1819
5120420,HIGHLAND,PRIMARY,RESOLIS PRIMARY,3.3,69,40,95.15,1819
5108624,HIGHLAND,PRIMARY,ROGART PRIMARY,2.8,14,7,93.73,1819
5153220,HIGHLAND,PRIMARY,ROSEBANK PRIMARY,17.4,334,157,94.33,1819
5108721,HIGHLAND,PRIMARY,ROSEHALL PRIMARY,1.5,13,,95.54,1819
5135028,HIGHLAND,PRIMARY,RUM PRIMARY,1.2,2,,,1819
5120829,HIGHLAND,PRIMARY,SCORAIG SCHOOL,1.1,6,,89.28,1819
5108829,HIGHLAND,PRIMARY,SCOURIE PRIMARY,2.6,9,,95.98,1819
5117828,HIGHLAND,PRIMARY,SHIELDAIG PRIMARY,1.3,9,,94.68,1819
5141621,HIGHLAND,PRIMARY,SMITHTON PRIMARY,18.9,333,85,94.23,1819
5115620,HIGHLAND,PRIMARY,SOUTH LODGE PRIMARY,8.3,159,107,92.16,1819
5134420,HIGHLAND,PRIMARY,SPEAN BRIDGE PRIMARY,6.8,108,16,93.91,1819
5134722,HIGHLAND,PRIMARY,ST BRIDE'S PRIMARY,2.6,30,16,95.01,1819
1003321,HIGHLAND,PRIMARY,ST COLUMBA'S ROMAN CATHOLIC PRIMARY,3.9,64,32,92.25,1819
5140528,HIGHLAND,PRIMARY,ST JOSEPH'S RC PRIMARY,8.3,164,90,93.15,1819
5128323,HIGHLAND,PRIMARY,STAFFIN PRIMARY,3.7,29,5,95.4,1819
5118123,HIGHLAND,PRIMARY,STRATHCONON PRIMARY,2.0,17,8,93.7,1819
5102626,HIGHLAND,PRIMARY,STRATHDEARN PRIMARY,2.8,39,7,92.77,1819
5143721,HIGHLAND,PRIMARY,STRATHERRICK PRIMARY,1.9,18,,95.52,1819
5118220,HIGHLAND,PRIMARY,STRATHGARVE PRIMARY,1.5,12,,94.62,1819
5111226,HIGHLAND,PRIMARY,STRATHPEFFER PRIMARY,9.8,170,55,93.56,1819
5131324,HIGHLAND,PRIMARY,STRONTIAN PRIMARY,2.9,19,5,95.33,1819
5127521,HIGHLAND,PRIMARY,STRUAN PRIMARY,1.3,7,,95.56,1819
5118425,HIGHLAND,PRIMARY,TARBAT OLD PRIMARY,2.6,43,8,95.33,1819
5118522,HIGHLAND,PRIMARY,TARRADALE PRIMARY,13.3,268,68,95.13,1819
5141923,HIGHLAND,PRIMARY,TEANASSIE PRIMARY,3.4,54,16,96.3,1819
5101220,HIGHLAND,PRIMARY,THRUMSTER PRIMARY,2.7,33,10,95.83,1819
5142024,HIGHLAND,PRIMARY,TOMNACROSS PRIMARY,4.6,94,47,93.89,1819
5110327,HIGHLAND,PRIMARY,TONGUE PRIMARY,2.5,17,11,96.35,1819
5118727,HIGHLAND,PRIMARY,TORE PRIMARY,2.6,19,9,96.1,1819
5153522,HIGHLAND,PRIMARY,ULLAPOOL PRIMARY,8.7,143,50,93.47,1819
5101522,HIGHLAND,PRIMARY,WATTEN PRIMARY,2.6,42,11,96.99,1819
5120136,HIGHLAND,SECONDARY,ALNESS ACADEMY,35.6,410,211,88.63,1819
5130239,HIGHLAND,SECONDARY,ARDNAMURCHAN HIGH SCHOOL,16.6,131,45,94.18,1819
5143837,HIGHLAND,SECONDARY,CHARLESTON ACADEMY,60.2,743,401,89.49,1819
5143934,HIGHLAND,SECONDARY,CULLODEN ACADEMY,72.2,1062,369,90.69,1819
5119138,HIGHLAND,SECONDARY,DINGWALL ACADEMY,84.1,1032,429,88.64,1819
5109434,HIGHLAND,SECONDARY,DORNOCH ACADEMY,23.4,176,68,89.2,1819
5110432,HIGHLAND,SECONDARY,FARR HIGH SCHOOL,12.3,88,46,92.4,1819
5119332,HIGHLAND,SECONDARY,FORTROSE ACADEMY,46.0,627,290,91.81,1819
5119030,HIGHLAND,SECONDARY,GAIRLOCH HIGH SCHOOL,16.4,118,56,90.43,1819
5142539,HIGHLAND,SECONDARY,GLEN URQUHART HIGH SCHOOL,22.8,208,94,92.6,1819
5109531,HIGHLAND,SECONDARY,GOLSPIE HIGH SCHOOL,25.6,234,125,90.8,1819
5150132,HIGHLAND,SECONDARY,GRANTOWN GRAMMAR SCHOOL,35.8,365,228,90.56,1819
5119634,HIGHLAND,SECONDARY,INVERGORDON ACADEMY,30.4,338,204,91.54,1819
5142636,HIGHLAND,SECONDARY,INVERNESS HIGH SCHOOL,48.9,537,369,84.46,1819
5142938,HIGHLAND,SECONDARY,INVERNESS ROYAL ACADEMY,85.9,1221,538,91.43,1819
5142431,HIGHLAND,SECONDARY,KILCHUIMEN ACADEMY,9.9,57,34,93.07,1819
5146038,HIGHLAND,SECONDARY,KINGUSSIE HIGH SCHOOL,36.5,400,225,88.51,1819
5153239,HIGHLAND,SECONDARY,KINLOCHBERVIE HIGH SCHOOL,10.7,44,29,88.61,1819
5135532,HIGHLAND,SECONDARY,KINLOCHLEVEN HIGH SCHOOL,16.9,143,57,91.75,1819
5135931,HIGHLAND,SECONDARY,LOCHABER HIGH SCHOOL,63.4,856,477,89.91,1819
5135834,HIGHLAND,SECONDARY,MALLAIG HIGH SCHOOL,15.0,113,36,93.48,1819
5142830,HIGHLAND,SECONDARY,MILLBURN ACADEMY,81.1,1112,492,90.8,1819
5153131,HIGHLAND,SECONDARY,NAIRN ACADEMY,53.1,664,348,90.09,1819
5123437,HIGHLAND,SECONDARY,PLOCKTON HIGH SCHOOL,26.7,263,84,89.95,1819
5128234,HIGHLAND,SECONDARY,PORTREE HIGH SCHOOL,44.1,471,147,90.04,1819
5119839,HIGHLAND,SECONDARY,TAIN ROYAL ACADEMY,38.1,496,244,90.44,1819
5102030,HIGHLAND,SECONDARY,THURSO HIGH SCHOOL,51.9,736,262,91.07,1819
5119936,HIGHLAND,SECONDARY,ULLAPOOL HIGH SCHOOL,25.0,192,88,92.44,1819
5102138,HIGHLAND,SECONDARY,WICK HIGH SCHOOL,49.8,682,249,89.74,1819
5143144,HIGHLAND,SPECIAL,DRUMMOND SCHOOL,27.6,88,88,91.07,1819
5120047,HIGHLAND,SPECIAL,ST CLEMENT'S SCHOOL,10.9,37,37,90.35,1819
5120748,HIGHLAND,SPECIAL,ST DUTHUS SCHOOL,6.0,25,25,93.98,1819
8640122,INVERCLYDE,PRIMARY,AILEYMILL PRIMARY SCHOOL,21.4,345,99,92.69,1819
8640220,INVERCLYDE,PRIMARY,ALL SAINTS PRIMARY SCHOOL,24.2,375,98,92.72,1819
8640327,INVERCLYDE,PRIMARY,ARDGOWAN PRIMARY SCHOOL,21.1,422,88,95.66,1819
8641323,INVERCLYDE,PRIMARY,GOUROCK PRIMARY SCHOOL,13.1,217,10,96.03,1819
8642923,INVERCLYDE,PRIMARY,INVERKIP PRIMARY SCHOOL,14.2,263,65,96.11,1819
8643024,INVERCLYDE,PRIMARY,KILMACOLM PRIMARY SCHOOL,13.4,225,60,95.55,1819
8640521,INVERCLYDE,PRIMARY,KING'S OAK PRIMARY SCHOOL,18.1,310,97,91.41,1819
8640920,INVERCLYDE,PRIMARY,LADY ALICE PRIMARY SCHOOL,13.2,199,50,94.31,1819
8641420,INVERCLYDE,PRIMARY,MOORFOOT PRIMARY SCHOOL,20.2,263,35,95.52,1819
8640025,INVERCLYDE,PRIMARY,NEWARK PRIMARY SCHOOL,23.3,421,92,94.39,1819
8641820,INVERCLYDE,PRIMARY,ST ANDREW'S PRIMARY SCHOOL,14.1,235,47,93.37,1819
8643822,INVERCLYDE,PRIMARY,ST FRANCIS' PRIMARY SCHOOL,13.5,203,54,93.18,1819
8643628,INVERCLYDE,PRIMARY,ST JOHN'S PRIMARY SCHOOL,14.9,257,56,93.7,1819
8641927,INVERCLYDE,PRIMARY,ST JOSEPH'S PRIMARY SCHOOL,12.3,151,34,92.8,1819
8642222,INVERCLYDE,PRIMARY,ST MARY'S PRIMARY SCHOOL,16.2,295,95,94.32,1819
8643725,INVERCLYDE,PRIMARY,ST MICHAEL'S PRIMARY SCHOOL,14.6,205,72,94.23,1819
8642826,INVERCLYDE,PRIMARY,ST NINIAN'S PRIMARY SCHOOL,16.8,299,34,96.04,1819
8642524,INVERCLYDE,PRIMARY,ST PATRICK'S PRIMARY SCHOOL,15.9,265,39,94.09,1819
8644721,INVERCLYDE,PRIMARY,WEMYSS BAY PRIMARY SCHOOL,9.9,135,38,95.69,1819
1000527,INVERCLYDE,PRIMARY,WHINHILL PRIMARY SCHOOL,21.0,263,42,93.78,1819
8640130,INVERCLYDE,SECONDARY,CLYDEVIEW ACADEMY,73.2,902,214,90.63,1819
8640033,INVERCLYDE,SECONDARY,INVERCLYDE ACADEMY,60.1,781,340,89.97,1819
8645132,INVERCLYDE,SECONDARY,NOTRE DAME HIGH SCHOOL,77.1,906,265,89.3,1819
8645531,INVERCLYDE,SECONDARY,PORT GLASGOW HIGH SCHOOL,45.2,509,186,91.75,1819
8645434,INVERCLYDE,SECONDARY,ST COLUMBA'S HIGH SCHOOL,56.8,725,257,89.15,1819
8645639,INVERCLYDE,SECONDARY,ST STEPHEN'S HIGH SCHOOL,45.5,541,186,87.39,1819
1004182,INVERCLYDE,SPECIAL,CRAIGMARLOCH SCHOOL,34.9,175,175,92.18,1819
1004174,INVERCLYDE,SPECIAL,LOMOND VIEW ACADEMY,5.0,13,13,83.81,1819
1003380,MIDLOTHIAN,PRIMARY,BILSTON PRIMARY SCHOOL,5.9,90,29,94.1,1819
5542022,MIDLOTHIAN,PRIMARY,BONNYRIGG PRIMARY SCHOOL,20.5,414,52,96.26,1819
5546621,MIDLOTHIAN,PRIMARY,BURNBRAE PRIMARY SCHOOL,28.2,487,73,95.21,1819
5544920,MIDLOTHIAN,PRIMARY,CORNBANK ST JAMES PRIMARY SCHOOL,12.9,257,85,96.84,1819
5545021,MIDLOTHIAN,PRIMARY,CUIKEN PRIMARY SCHOOL,17.5,246,101,94.72,1819
5543126,MIDLOTHIAN,PRIMARY,DANDERHALL PRIMARY SCHOOL,17.5,299,40,93.99,1819
5543320,MIDLOTHIAN,PRIMARY,GLENCORSE PRIMARY SCHOOL,1.6,12,5,98.19,1819
1003399,MIDLOTHIAN,PRIMARY,GORE GLEN PRIMARY SCHOOL,19.4,186,51,95.11,1819
5543428,MIDLOTHIAN,PRIMARY,GOREBRIDGE PRIMARY SCHOOL,16.6,319,95,93.61,1819
5542227,MIDLOTHIAN,PRIMARY,HAWTHORNDEN PRIMARY SCHOOL,20.5,307,91,93.43,1819
5542820,MIDLOTHIAN,PRIMARY,KING'S PARK PRIMARY SCHOOL,24.7,461,87,95.88,1819
5543827,MIDLOTHIAN,PRIMARY,LASSWADE PRIMARY SCHOOL,21.6,394,47,96.09,1819
5541026,MIDLOTHIAN,PRIMARY,LAWFIELD PRIMARY SCHOOL,19.8,308,27,90.77,1819
5543924,MIDLOTHIAN,PRIMARY,LOANHEAD PRIMARY SCHOOL,10.8,186,9,95.14,1819
5545226,MIDLOTHIAN,PRIMARY,MAURICEWOOD PRIMARY SCHOOL,19.2,334,58,95.72,1819
5544122,MIDLOTHIAN,PRIMARY,MAYFIELD PRIMARY SCHOOL,18.9,272,64,91.89,1819
5540720,MIDLOTHIAN,PRIMARY,MOORFOOT PRIMARY SCHOOL,5.1,77,37,96.74,1819
5544629,MIDLOTHIAN,PRIMARY,NEWTONGRANGE PRIMARY SCHOOL,19.1,356,22,95.64,1819
5547326,MIDLOTHIAN,PRIMARY,PARADYKES PRIMARY SCHOOL,14.5,282,45,94.02,1819
5545420,MIDLOTHIAN,PRIMARY,ROSEWELL PRIMARY SCHOOL,8.1,121,38,95.97,1819
5545625,MIDLOTHIAN,PRIMARY,ROSLIN PRIMARY SCHOOL,10.6,203,48,96.37,1819
5545323,MIDLOTHIAN,PRIMARY,SACRED HEART PRIMARY SCHOOL,8.4,127,50,95.08,1819
5544726,MIDLOTHIAN,PRIMARY,ST ANDREW'S PRIMARY SCHOOL,12.8,157,97,92.61,1819
5543029,MIDLOTHIAN,PRIMARY,ST DAVID'S PRIMARY SCHOOL,11.6,193,31,96.05,1819
5544327,MIDLOTHIAN,PRIMARY,ST LUKE'S PRIMARY SCHOOL,13.0,201,87,94.97,1819
5544025,MIDLOTHIAN,PRIMARY,ST MARGARET'S PRIMARY SCHOOL,4.0,40,16,93.93,1819
5542324,MIDLOTHIAN,PRIMARY,ST MARY'S PRIMARY SCHOOL,9.0,135,76,94.07,1819
5545528,MIDLOTHIAN,PRIMARY,ST MATTHEW'S PRIMARY SCHOOL,4.9,55,33,95.24,1819
5543525,MIDLOTHIAN,PRIMARY,STOBHILL PRIMARY SCHOOL,11.8,202,78,95.22,1819
5541123,MIDLOTHIAN,PRIMARY,STRATHESK PRIMARY SCHOOL,17.9,321,88,94.45,1819
5540020,MIDLOTHIAN,PRIMARY,TYNEWATER PRIMARY SCHOOL,10.8,201,66,95.63,1819
5542928,MIDLOTHIAN,PRIMARY,WOODBURN PRIMARY SCHOOL,29.7,540,190,93.13,1819
5547938,MIDLOTHIAN,SECONDARY,BEESLACK COMMUNITY HIGH SCHOOL,51.1,673,283,91.22,1819
5545838,MIDLOTHIAN,SECONDARY,DALKEITH HIGH SCHOOL,67.6,806,268,89.61,1819
5546532,MIDLOTHIAN,SECONDARY,LASSWADE HIGH SCHOOL,117.3,1582,346,89.79,1819
5546036,MIDLOTHIAN,SECONDARY,NEWBATTLE HIGH SCHOOL,75.6,951,351,86.49,1819
5546834,MIDLOTHIAN,SECONDARY,PENICUIK HIGH SCHOOL,47.5,598,226,89.23,1819
5546230,MIDLOTHIAN,SECONDARY,ST DAVID'S RC HIGH SCHOOL,56.7,651,333,89.99,1819
5546443,MIDLOTHIAN,SPECIAL,SALTERSGATE,29.3,90,90,92.52,1819
5209722,MORAY,PRIMARY,ABERLOUR PRIMARY SCHOOL,8.6,129,53,95.87,1819
5200326,MORAY,PRIMARY,ALVES PRIMARY SCHOOL,5.9,74,29,96.68,1819
5201322,MORAY,PRIMARY,ANDERSON'S PRIMARY SCHOOL,13.8,246,67,95.04,1819
5201527,MORAY,PRIMARY,APPLEGROVE PRIMARY SCHOOL,16.5,279,145,94.18,1819
5200423,MORAY,PRIMARY,BISHOPMILL PRIMARY SCHOOL,21.4,388,77,96.13,1819
5206227,MORAY,PRIMARY,BOTRIPHNIE PRIMARY SCHOOL,2.9,22,10,94.9,1819
5200520,MORAY,PRIMARY,BURGHEAD PRIMARY SCHOOL,6.9,119,38,94.58,1819
5206324,MORAY,PRIMARY,CLUNY PRIMARY SCHOOL,18.0,360,59,95.03,1819
5206723,MORAY,PRIMARY,CRAIGELLACHIE PRIMARY SCHOOL,3.0,38,6,94.87,1819
5206820,MORAY,PRIMARY,CROSSROADS PRIMARY SCHOOL,1.6,16,,94.36,1819
5206928,MORAY,PRIMARY,CULLEN PRIMARY SCHOOL,6.8,115,13,96.82,1819
5200628,MORAY,PRIMARY,DALLAS PRIMARY SCHOOL,2.8,26,7,94.34,1819
5200725,MORAY,PRIMARY,DYKE PRIMARY SCHOOL,6.5,69,25,95.27,1819
5200822,MORAY,PRIMARY,EAST END PRIMARY SCHOOL,11.7,172,114,92.95,1819
5207126,MORAY,PRIMARY,FINDOCHTY PRIMARY SCHOOL,5.3,72,31,95.26,1819
5207223,MORAY,PRIMARY,GLENLIVET PRIMARY SCHOOL,1.9,18,,95.7,1819
5209927,MORAY,PRIMARY,GREENWARDS PRIMARY SCHOOL,19.6,352,130,95.15,1819
5201624,MORAY,PRIMARY,HOPEMAN PRIMARY SCHOOL,10.4,156,40,95.4,1819
5202124,MORAY,PRIMARY,HYTHEHILL PRIMARY SCHOOL,19.9,321,137,94.42,1819
5207525,MORAY,PRIMARY,KEITH PRIMARY SCHOOL,19.4,308,156,94.8,1819
5201721,MORAY,PRIMARY,KINLOSS PRIMARY SCHOOL,13.9,243,54,95.35,1819
5201829,MORAY,PRIMARY,KNOCKANDO PRIMARY SCHOOL,3.0,47,15,95.06,1819
5201926,MORAY,PRIMARY,LHANBRYDE PRIMARY SCHOOL,11.2,179,61,94.78,1819
1003674,MORAY,PRIMARY,LINKWOOD PRIMARY,6.7,104,19,95.72,1819
5202027,MORAY,PRIMARY,LOGIE PRIMARY SCHOOL,2.7,28,,93.25,1819
5206421,MORAY,PRIMARY,MILLBANK PRIMARY SCHOOL,15.5,228,107,94.79,1819
5202825,MORAY,PRIMARY,MILNE'S PRIMARY SCHOOL,11.6,184,38,94.37,1819
5207827,MORAY,PRIMARY,MORTLACH PRIMARY SCHOOL,8.2,135,28,95.39,1819
5202329,MORAY,PRIMARY,MOSSTODLOCH PRIMARY SCHOOL,9.8,159,70,95.59,1819
5202426,MORAY,PRIMARY,MOSSTOWIE PRIMARY SCHOOL,4.0,65,29,97.32,1819
5202523,MORAY,PRIMARY,NEW ELGIN PRIMARY SCHOOL,27.4,480,290,94.7,1819
5207924,MORAY,PRIMARY,NEWMILL PRIMARY SCHOOL,3.7,72,28,95.07,1819
5210127,MORAY,PRIMARY,PILMUIR PRIMARY SCHOOL,12.5,161,49,92.32,1819
5208025,MORAY,PRIMARY,PORTESSIE PRIMARY SCHOOL,6.6,111,23,95.8,1819
5208122,MORAY,PRIMARY,PORTGORDON PRIMARY SCHOOL,4.5,44,18,96.73,1819
5208327,MORAY,PRIMARY,PORTKNOCKIE PRIMARY SCHOOL,4.2,71,21,96.69,1819
5202620,MORAY,PRIMARY,ROTHES PRIMARY SCHOOL,5.2,91,32,95.98,1819
5208424,MORAY,PRIMARY,ROTHIEMAY PRIMARY SCHOOL,4.1,62,24,94.38,1819
5201020,MORAY,PRIMARY,SEAFIELD PRIMARY SCHOOL,20.2,354,29,94.96,1819
5202221,MORAY,PRIMARY,ST GERARDINE PRIMARY SCHOOL,17.0,312,112,94.99,1819
5206529,MORAY,PRIMARY,ST PETER'S RC PRIMARY SCHOOL,6.6,122,20,94.52,1819
5201128,MORAY,PRIMARY,ST SYLVESTER'S RC PRIMARY SCHL,10.4,144,29,94.54,1819
5207622,MORAY,PRIMARY,ST THOMAS' RC PRIMARY SCHOOL,5.1,60,44,92.23,1819
5209234,MORAY,PRIMARY,TOMINTOUL PRIMARY SCHOOL,2.6,29,10,94.31,1819
5201225,MORAY,PRIMARY,WEST END PRIMARY SCHOOL,11.7,222,36,96.13,1819
5208734,MORAY,SECONDARY,BUCKIE HIGH SCHOOL,59.1,755,268,92.75,1819
5202736,MORAY,SECONDARY,ELGIN ACADEMY,77.1,1036,333,92.72,1819
5210038,MORAY,SECONDARY,ELGIN HIGH SCHOOL,54.8,682,311,92.26,1819
5203031,MORAY,SECONDARY,FORRES ACADEMY,61.6,797,272,90.51,1819
5208831,MORAY,SECONDARY,KEITH GRAMMAR SCHOOL,34.9,387,184,93.1,1819
5203139,MORAY,SECONDARY,LOSSIEMOUTH HIGH SCHOOL,44.4,485,197,89.94,1819
5202930,MORAY,SECONDARY,MILNE'S HIGH SCHOOL,37.8,408,136,92.78,1819
5208939,MORAY,SECONDARY,SPEYSIDE HIGH SCHOOL,35.2,390,154,91.52,1819
8212627,NORTH AYRSHIRE,PRIMARY,ABBEY PRIMARY SCHOOL,17.5,280,106,93.16,1819
8218323,NORTH AYRSHIRE,PRIMARY,ANNICK PRIMARY SCHOOL,20.2,386,28,95.27,1819
8214123,NORTH AYRSHIRE,PRIMARY,ARDEER PRIMARY SCHOOL,13.0,152,67,93.39,1819
8210829,NORTH AYRSHIRE,PRIMARY,BEITH PRIMARY SCHOOL,24.4,363,63,94.81,1819
8212724,NORTH AYRSHIRE,PRIMARY,BLACKLANDS PRIMARY SCHOOL,11.6,129,50,93.03,1819
8200122,NORTH AYRSHIRE,PRIMARY,BRODICK PRIMARY SCHOOL,6.2,63,17,94.94,1819
8218625,NORTH AYRSHIRE,PRIMARY,CALEDONIA PRIMARY SCHOOL,16.1,265,22,94.0,1819
8211825,NORTH AYRSHIRE,PRIMARY,CASTLEPARK PRIMARY SCHOOL,25.9,453,146,90.79,1819
8200327,NORTH AYRSHIRE,PRIMARY,CORRIE PRIMARY SCHOOL,1.4,10,,93.92,1819
8212821,NORTH AYRSHIRE,PRIMARY,CORSEHILL PRIMARY SCHOOL,13.8,218,71,93.1,1819
8218226,NORTH AYRSHIRE,PRIMARY,CUMBRAE PRIMARY SCHOOL,7.2,50,17,95.02,1819
8210926,NORTH AYRSHIRE,PRIMARY,DALRY PRIMARY SCHOOL,17.8,327,110,94.55,1819
8211124,NORTH AYRSHIRE,PRIMARY,DREGHORN PRIMARY SCHOOL,19.6,312,30,93.6,1819
8213429,NORTH AYRSHIRE,PRIMARY,DYKESMAINS PRIMARY SCHOOL,16.6,243,60,93.72,1819
1003127,NORTH AYRSHIRE,PRIMARY,ELDERBANK PRIMARY SCHOOL,37.5,394,133,93.31,1819
8211221,NORTH AYRSHIRE,PRIMARY,FAIRLIE PRIMARY SCHOOL,6.3,75,15,96.65,1819
8215634,NORTH AYRSHIRE,PRIMARY,GARNOCK COMMUNITY CAMPUSSECONDARY,12.4,165,36,93.62,1819
8211329,NORTH AYRSHIRE,PRIMARY,GATESIDE PRIMARY SCHOOL,4.2,40,13,95.52,1819
8211922,NORTH AYRSHIRE,PRIMARY,GLEBE PRIMARY SCHOOL,19.9,329,26,94.78,1819
8214328,NORTH AYRSHIRE,PRIMARY,GLENCAIRN PRIMARY SCHOOL,16.0,268,77,93.87,1819
8214220,NORTH AYRSHIRE,PRIMARY,HAYOCKS PRIMARY SCHOOL,15.7,221,41,91.61,1819
8200424,NORTH AYRSHIRE,PRIMARY,KILMORY PRIMARY SCHOOL,2.7,24,8,93.74,1819
8218420,NORTH AYRSHIRE,PRIMARY,LAMLASH PRIMARY SCHOOL,6.0,70,29,94.5,1819
1004336,NORTH AYRSHIRE,PRIMARY,LARGS PRIMARY SCHOOL,25.2,479,142,95.79,1819
8218722,NORTH AYRSHIRE,PRIMARY,LAWTHORN PRIMARY SCHOOL,18.3,357,79,94.52,1819
8212120,NORTH AYRSHIRE,PRIMARY,LOUDOUNMONTGOMERY PRIMARY SCHOOL,12.8,114,46,92.9,1819
8213623,NORTH AYRSHIRE,PRIMARY,MAYFIELD PRIMARY SCHOOL,12.8,197,39,92.65,1819
8211523,NORTH AYRSHIRE,PRIMARY,MOORPARK PRIMARY SCHOOL,12.8,217,54,94.04,1819
8212929,NORTH AYRSHIRE,PRIMARY,PENNYBURN PRIMARY SCHOOL,13.2,179,55,92.95,1819
8200521,NORTH AYRSHIRE,PRIMARY,PIRNMILL PRIMARY SCHOOL,1.6,8,,91.77,1819
8200629,NORTH AYRSHIRE,PRIMARY,SHISKINE PRIMARY SCHOOL,2.4,29,6,95.71,1819
8213925,NORTH AYRSHIRE,PRIMARY,SKELMORLIE PRIMARY SCHOOL,6.0,75,24,96.76,1819
8214026,NORTH AYRSHIRE,PRIMARY,SPRINGSIDE PRIMARY SCHOOL,9.8,115,39,93.03,1819
8213720,NORTH AYRSHIRE,PRIMARY,ST ANTHONY'S PRIMARY SCHOOL,15.8,259,69,95.19,1819
8211620,NORTH AYRSHIRE,PRIMARY,ST BRIDGET'S PRIMARY SCHOOL,15.2,204,98,94.55,1819
