EXP HEAD,DESCRIPTION,SCHOOL,YEAR,CATEGORY,VALUE
DD3003,COSTS  MONO,CULLODEN ACADEMY,1516,MPS,25563.17
DD3004,COSTS  COLOUR,CULLODEN ACADEMY,1516,MPS,2693.43
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,5577.4
DD4010,ONLY PER CAPITA ALLOW,CULLODEN ACADEMY,1516,BUDGET,222.5
DE1015,GENERAL,CULLODEN ACADEMY,1516,CONSULTANTS,99.0
DE2000,EXT CONTS  LABOUR,CULLODEN ACADEMY,1516,PAYMENTS,99.95
DF3000,MAINTENANCE,CULLODEN ACADEMY,1516,COMPUTER,34.99
DF4001,CHARGES CORE SUPPLIER,CULLODEN ACADEMY,1516,ICT,569.0
DF6001,LICENCES,CULLODEN ACADEMY,1516,TV,128.75
DF7000,,CULLODEN ACADEMY,1516,POSTAGES,3592.04
DF9000,TELEPHONES RENTAL,CULLODEN ACADEMY,1516,LANDLINE,3379.17
DF9010,PHONE LINE RENTAL,CULLODEN ACADEMY,1516,MOBILE,164.75
DF9015,PHONE USAGE COSTS,CULLODEN ACADEMY,1516,MOBILE,-17.9
DG1000,,CULLODEN ACADEMY,1516,ACCOMMODATION,345.47
DG4000,,CULLODEN ACADEMY,1516,SUBSISTENCE,12.73
DK7000,OF STRAY ANIMALS,CULLODEN ACADEMY,1516,CARE,71.98
DK9010,FUND,CULLODEN ACADEMY,1516,SCHOOL,2094.3
DK9500,SUPPLIES,CULLODEN ACADEMY,1516,MISCELLANEOUS,449.16
EE1200,QUALIFICATIONS AUTHORITY,CULLODEN ACADEMY,1516,SCOTT,87663.25
EF1003,ASSOCS/OTHER BODIES,CULLODEN ACADEMY,1516,VOLUNTARY,175.0
FA3000,FUNDS FOR SCHOOLS,CULLODEN ACADEMY,1516,PROJECT,-3485.0
KC1936,FEES/CHARGES,CULLODEN ACADEMY,1516,OTHER,-5096.0
KC5009,,CULLODEN ACADEMY,1516,LETTINGS,-17432.23
XH1050,ACCOUNT BALANCE,CULLODEN ACADEMY,1516,REVENUE,-203906.97
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,3033.71
DA4008,CHEMICALS,CULLODEN ACADEMY,1516,POOL,348.52
BH2000,MATERIALS/EQUIPMENT,CULLODEN ACADEMY,1516,CLEANING,745.7
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,14.01
AH1010,DEVELOPMENT,CULLODEN ACADEMY,1516,STAFF,1515.49
FA3000,FUNDS FOR SCHOOLS,CULLODEN ACADEMY,1516,PROJECT,-10625.73
AH1000,COURSES,CULLODEN ACADEMY,1516,TRAINING,1392.0
AH1010,DEVELOPMENT,CULLODEN ACADEMY,1516,STAFF,515.6
KB3001,OTHER PUBLIC BODIES,CULLODEN ACADEMY,1516,GRANTS,286.0
FA3000,FUNDS FOR SCHOOLS,CULLODEN ACADEMY,1516,PROJECT,256.78
DA4551,& CRAFT SUPPLIES,CULLODEN ACADEMY,1516,ART,2264.76
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,5.2
DA4555,SUPPLIES,CULLODEN ACADEMY,1516,SCIENTIFIC,890.49
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,2918.41
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,1557.03
DA4555,SUPPLIES,CULLODEN ACADEMY,1516,SCIENTIFIC,1358.55
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,1375.3
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,1490.42
DA2040,REPAIRS,CULLODEN ACADEMY,1516,EQUIPMENT,257.57
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,4635.4
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,756.35
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,1835.17
DA4556,ECONOMICS SUPPLIES,CULLODEN ACADEMY,1516,HOME,244.65
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,954.75
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,1129.82
DF4001,CHARGES CORE SUPPLIER,CULLODEN ACADEMY,1516,ICT,36.0
BA3000,CLIENT EXTERNAL PARTIES,CULLODEN ACADEMY,1516,MAINT,238.26
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,2930.15
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,4998.74
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,2768.14
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,240.0
DA4554,SUPPLIES,CULLODEN ACADEMY,1516,MUSICAL,1774.39
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,302.58
DA4553,SUPPLIES,CULLODEN ACADEMY,1516,PE,4525.93
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,556.55
DF4001,CHARGES CORE SUPPLIER,CULLODEN ACADEMY,1516,ICT,846.0
DA4555,SUPPLIES,CULLODEN ACADEMY,1516,SCIENTIFIC,429.4
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,2210.15
DA4555,SUPPLIES,CULLODEN ACADEMY,1516,SCIENTIFIC,1227.24
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,731.66
DA4551,& CRAFT SUPPLIES,CULLODEN ACADEMY,1516,ART,5.99
DA4552,SUPPLIES,CULLODEN ACADEMY,1516,WOOD/METALWORK,5620.4
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,1503.18
AH1000,COURSES,CULLODEN ACADEMY,1516,TRAINING,1150.0
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,120.95
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,290.16
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,5391.17
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,472.05
DD4001,TEXT BOOKS/STATIONERY,CULLODEN ACADEMY,1516,BOOKS,223.85
FA3000,FUNDS FOR SCHOOLS,CULLODEN ACADEMY,1516,PROJECT,-377.48
AA1001,BASIC PAY,GLEN URQUHART HIGH SCHOOL,1718,APT&C,42438.64
AA1100,PERMANENT  BASIC PAY,GLEN URQUHART HIGH SCHOOL,1718,TEACHERS,896791.56
AA1101,COVER BASIC PAY,GLEN URQUHART HIGH SCHOOL,1718,SUPPLY,4218.15
AA1110,TECH'N BASIC PAY,GLEN URQUHART HIGH SCHOOL,1718,LABORATORY,19082.76
AB1000,NONTEACHERS,GLEN URQUHART HIGH SCHOOL,1718,NI,3679.25
AB1100,PERMANENT TEACHERS,GLEN URQUHART HIGH SCHOOL,1718,NI,95400.81
AB1101,SUPPLY COVER,GLEN URQUHART HIGH SCHOOL,1718,NI,1275.97
AC1000,NON TEACHERS,GLEN URQUHART HIGH SCHOOL,1718,SUPERANN,11679.44
AC1100,PERMANENT TEACHERS,GLEN URQUHART HIGH SCHOOL,1718,SUPERANN,150406.85
AC1101,SUPPLY COVER,GLEN URQUHART HIGH SCHOOL,1718,SUPERANN,1695.05
AE1600,,GLEN URQUHART HIGH SCHOOL,1718,MISCELLANEOUS,200.0
AH1000,COURSES,GLEN URQUHART HIGH SCHOOL,1718,TRAINING,4860.69
AS1000,LEVY COST,GLEN URQUHART HIGH SCHOOL,1718,APPRENTICESHIP,4835.32
BH2000,MATERIALS/EQUIPMENT,GLEN URQUHART HIGH SCHOOL,1718,CLEANING,39.25
CB1006,HIRE CONT CHG FROM FLEET,GLEN URQUHART HIGH SCHOOL,1718,INT,1253.0
CB1007,MAINT O/CHG FROM FLEET,GLEN URQUHART HIGH SCHOOL,1718,VEHICLE,136.14
CC1000,TRAVEL,GLEN URQUHART HIGH SCHOOL,1718,EDUCATIONAL,2749.3
CC2000,HIRE,GLEN URQUHART HIGH SCHOOL,1718,CAR,79.38
CD1000,,GLEN URQUHART HIGH SCHOOL,1718,FARES,1198.1
CF1004,MILEAGE  NON TAXABLE,GLEN URQUHART HIGH SCHOOL,1718,TRAVEL,292.33
DA1000,PURCHASE,GLEN URQUHART HIGH SCHOOL,1718,EQUIPMENT,1589.0
DA4550,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,CLASSROOM,19.73
DB2000,,GLEN URQUHART HIGH SCHOOL,1718,GROCERIES,195.11
DB2010,,GLEN URQUHART HIGH SCHOOL,1718,FOOD,707.91
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,2051.81
DD3003,COSTS  MONO,GLEN URQUHART HIGH SCHOOL,1718,MPS,4908.01
DD3004,COSTS  COLOUR,GLEN URQUHART HIGH SCHOOL,1718,MPS,3685.85
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,2140.1
DE1015,GENERAL,GLEN URQUHART HIGH SCHOOL,1718,CONSULTANTS,90.0
DE2000,EXT CONTS  LABOUR,GLEN URQUHART HIGH SCHOOL,1718,PAYMENTS,2319.18
DE2035,OF ENTERTAINERS,GLEN URQUHART HIGH SCHOOL,1718,PAYMENT,261.67
DF4001,CHARGES CORE SUPPLIER,GLEN URQUHART HIGH SCHOOL,1718,ICT,472.08
DF5002,SOFTWARE PURCHASE,GLEN URQUHART HIGH SCHOOL,1718,COMPUTER,106.34
DF6001,LICENCES,GLEN URQUHART HIGH SCHOOL,1718,TV,147.0
DF7000,,GLEN URQUHART HIGH SCHOOL,1718,POSTAGES,1140.82
DF9000,TELEPHONES RENTAL,GLEN URQUHART HIGH SCHOOL,1718,LANDLINE,123.15
DG4000,,GLEN URQUHART HIGH SCHOOL,1718,SUBSISTENCE,24.87
DK9010,FUND,GLEN URQUHART HIGH SCHOOL,1718,SCHOOL,57.6
DK9500,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,MISCELLANEOUS,549.76
DK9600,ADMIN COSTS,GLEN URQUHART HIGH SCHOOL,1718,MISCELLANEOUS,572.36
EE1200,QUALIFICATIONS AUTHORITY,GLEN URQUHART HIGH SCHOOL,1718,SCOTT,18732.1
KC1936,FEES/CHARGES,GLEN URQUHART HIGH SCHOOL,1718,OTHER,-98.0
XH1050,ACCOUNT BALANCE,GLEN URQUHART HIGH SCHOOL,1718,REVENUE,-20142.86
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,96.84
CC1000,TRAVEL,GLEN URQUHART HIGH SCHOOL,1718,EDUCATIONAL,1408.0
KE3000,FROM WITHIN HLAND CNCL,GLEN URQUHART HIGH SCHOOL,1718,INCOME,-1625.0
AH1000,COURSES,GLEN URQUHART HIGH SCHOOL,1718,TRAINING,1231.89
AH1010,DEVELOPMENT,GLEN URQUHART HIGH SCHOOL,1718,STAFF,179.0
CD1000,,GLEN URQUHART HIGH SCHOOL,1718,FARES,212.4
CF1000,TRAVEL,GLEN URQUHART HIGH SCHOOL,1718,COURSES,113.7
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,38.97
DG1000,,GLEN URQUHART HIGH SCHOOL,1718,ACCOMMODATION,253.03
DG2000,& SEMINAR EXPENSES,GLEN URQUHART HIGH SCHOOL,1718,CONFERENCE,82.08
DA4551,& CRAFT SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,ART,984.7
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,94.37
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,1.67
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,470.29
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,278.07
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,88.24
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,655.49
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,296.76
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,469.79
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,177.96
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,882.91
DA4556,ECONOMICS SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,HOME,2388.79
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,60.48
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,99.86
DA4551,& CRAFT SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,ART,20.26
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,127.31
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,506.71
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,281.04
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,1073.05
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,120.04
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,566.94
DA4554,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,MUSICAL,1010.2
DA4553,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,PE,1057.6
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,25.54
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,119.99
DA4555,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,SCIENTIFIC,1527.29
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,537.42
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,1131.24
DA4552,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,WOOD/METALWORK,350.31
DA4552,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,WOOD/METALWORK,1697.24
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,52.75
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,319.88
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1718,PHOTOCOPY,448.07
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,27.83
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,534.09
CC1000,TRAVEL,GLEN URQUHART HIGH SCHOOL,1718,EDUCATIONAL,298.22
DA1000,PURCHASE,GLEN URQUHART HIGH SCHOOL,1718,EQUIPMENT,425.11
DA4553,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,PE,544.07
DA4554,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,MUSICAL,520.72
DA4555,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,SCIENTIFIC,349.15
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,12634.82
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1718,BOOKS,2100.0
AA1101,COVER BASIC PAY,GLEN URQUHART HIGH SCHOOL,1718,SUPPLY,249.34
AA1103,STAFF EDUCATION BASIC PAY,GLEN URQUHART HIGH SCHOOL,1718,AUX,289.71
AB1000,NONTEACHERS,GLEN URQUHART HIGH SCHOOL,1718,NI,16.88
AB1101,SUPPLY COVER,GLEN URQUHART HIGH SCHOOL,1718,NI,21.18
AC1000,NON TEACHERS,GLEN URQUHART HIGH SCHOOL,1718,SUPERANN,55.2
AC1101,SUPPLY COVER,GLEN URQUHART HIGH SCHOOL,1718,SUPERANN,42.89
AS1000,LEVY COST,GLEN URQUHART HIGH SCHOOL,1718,APPRENTICESHIP,1.45
DA1000,PURCHASE,GLEN URQUHART HIGH SCHOOL,1718,EQUIPMENT,2128.2
DA4550,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1718,CLASSROOM,4635.38
DD2000,,GLEN URQUHART HIGH SCHOOL,1718,STATIONERY,91.2
KA3000,GRANTS SPECIFIC GRANTS,GLEN URQUHART HIGH SCHOOL,1718,GOVT,-7531.43
AA1001,BASIC PAY,GLEN URQUHART HIGH SCHOOL,1617,APT&C,40578.13
AA1100,PERMANENT  BASIC PAY,GLEN URQUHART HIGH SCHOOL,1617,TEACHERS,865103.87
AA1101,COVER BASIC PAY,GLEN URQUHART HIGH SCHOOL,1617,SUPPLY,30628.66
AA1110,TECH'N BASIC PAY,GLEN URQUHART HIGH SCHOOL,1617,LABORATORY,18837.0
AB1000,NONTEACHERS,GLEN URQUHART HIGH SCHOOL,1617,NI,3736.17
AB1100,PERMANENT TEACHERS,GLEN URQUHART HIGH SCHOOL,1617,NI,93143.81
AB1101,SUPPLY COVER,GLEN URQUHART HIGH SCHOOL,1617,NI,2150.62
AC1000,NON TEACHERS,GLEN URQUHART HIGH SCHOOL,1617,SUPERANN,12030.49
AC1100,PERMANENT TEACHERS,GLEN URQUHART HIGH SCHOOL,1617,SUPERANN,144781.69
AC1101,SUPPLY COVER,GLEN URQUHART HIGH SCHOOL,1617,SUPERANN,3283.13
AH1000,COURSES,GLEN URQUHART HIGH SCHOOL,1617,TRAINING,3255.47
CB1006,HIRE CONT CHG FROM FLEET,GLEN URQUHART HIGH SCHOOL,1617,INT,1252.99
CB1007,MAINT O/CHG FROM FLEET,GLEN URQUHART HIGH SCHOOL,1617,VEHICLE,206.55
CC1000,TRAVEL,GLEN URQUHART HIGH SCHOOL,1617,EDUCATIONAL,2216.43
CC2000,HIRE,GLEN URQUHART HIGH SCHOOL,1617,CAR,323.1
CD1000,,GLEN URQUHART HIGH SCHOOL,1617,FARES,211.9
CF1004,MILEAGE  NON TAXABLE,GLEN URQUHART HIGH SCHOOL,1617,TRAVEL,774.05
DA1000,PURCHASE,GLEN URQUHART HIGH SCHOOL,1617,EQUIPMENT,174.62
DB2010,,GLEN URQUHART HIGH SCHOOL,1617,FOOD,807.89
DB3000,MEETINGS/TRAINING,GLEN URQUHART HIGH SCHOOL,1617,CATERING,236.25
DD1000,,GLEN URQUHART HIGH SCHOOL,1617,PRINTING,26.17
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,1885.58
DD3003,COSTS  MONO,GLEN URQUHART HIGH SCHOOL,1617,MPS,6576.58
DD3004,COSTS  COLOUR,GLEN URQUHART HIGH SCHOOL,1617,MPS,6288.3
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,2250.16
DE2000,EXT CONTS  LABOUR,GLEN URQUHART HIGH SCHOOL,1617,PAYMENTS,3161.08
DE2035,OF ENTERTAINERS,GLEN URQUHART HIGH SCHOOL,1617,PAYMENT,337.0
DF4001,CHARGES CORE SUPPLIER,GLEN URQUHART HIGH SCHOOL,1617,ICT,3619.85
DF5002,SOFTWARE PURCHASE,GLEN URQUHART HIGH SCHOOL,1617,COMPUTER,7.54
DF7000,,GLEN URQUHART HIGH SCHOOL,1617,POSTAGES,1830.01
DF9000,TELEPHONES RENTAL,GLEN URQUHART HIGH SCHOOL,1617,LANDLINE,220.19
DG1000,,GLEN URQUHART HIGH SCHOOL,1617,ACCOMMODATION,60.17
DH3100,TO ORGANISATIONS,GLEN URQUHART HIGH SCHOOL,1617,SUBSCRIPTIONS,52.0
DK9010,FUND,GLEN URQUHART HIGH SCHOOL,1617,SCHOOL,12.0
DK9500,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,MISCELLANEOUS,324.77
EE1200,QUALIFICATIONS AUTHORITY,GLEN URQUHART HIGH SCHOOL,1617,SCOTT,18491.5
KC1936,FEES/CHARGES,GLEN URQUHART HIGH SCHOOL,1617,OTHER,-471.51
XH1050,ACCOUNT BALANCE,GLEN URQUHART HIGH SCHOOL,1617,REVENUE,-31020.33
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,217.73
CC1000,TRAVEL,GLEN URQUHART HIGH SCHOOL,1617,EDUCATIONAL,2085.0
FA3000,FUNDS FOR SCHOOLS,GLEN URQUHART HIGH SCHOOL,1617,PROJECT,-1308.0
AH1000,COURSES,GLEN URQUHART HIGH SCHOOL,1617,TRAINING,1804.0
AH1010,DEVELOPMENT,GLEN URQUHART HIGH SCHOOL,1617,STAFF,628.0
CD1000,,GLEN URQUHART HIGH SCHOOL,1617,FARES,224.3
CF1000,TRAVEL,GLEN URQUHART HIGH SCHOOL,1617,COURSES,279.6
DG1000,,GLEN URQUHART HIGH SCHOOL,1617,ACCOMMODATION,159.99
DG1100,ACCOMMODATION,GLEN URQUHART HIGH SCHOOL,1617,TRAINING,51.58
DA4551,& CRAFT SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,ART,716.36
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,64.06
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,78.19
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,243.61
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,0.97
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,376.56
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,710.64
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,65.89
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,173.54
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,1712.74
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,110.53
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,153.28
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,289.95
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,51.21
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,180.18
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,881.04
DA4556,ECONOMICS SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,HOME,1989.1
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,0.6
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,121.87
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,108.81
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,402.5
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,96.28
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,853.77
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,1.32
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,698.47
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,1310.86
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,125.04
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,62.08
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,1131.67
DA4554,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,MUSICAL,266.9
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,3.6
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,431.77
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,23.57
DA4553,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,PE,556.85
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,7.96
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,73.06
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,291.14
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,55.2
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,316.8
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,8.32
DA4555,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,SCIENTIFIC,1003.34
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,159.42
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,588.2
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,960.32
DA4552,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,WOOD/METALWORK,65.09
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,16.36
DA4552,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,WOOD/METALWORK,1526.23
DD2000,,GLEN URQUHART HIGH SCHOOL,1617,STATIONERY,26.96
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,484.39
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,30.11
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,-2880.41
DD3001,NO OF COPIES CHG,GLEN URQUHART HIGH SCHOOL,1617,PHOTOCOPY,11.96
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,164.0
CC1000,TRAVEL,GLEN URQUHART HIGH SCHOOL,1617,EDUCATIONAL,90.0
DA4553,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,PE,67.49
DA4555,SUPPLIES,GLEN URQUHART HIGH SCHOOL,1617,SCIENTIFIC,1869.02
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,16538.69
DD4001,TEXT BOOKS/STATIONERY,GLEN URQUHART HIGH SCHOOL,1617,BOOKS,62.5
AA1001,BASIC PAY,GLEN URQUHART HIGH SCHOOL,1819,APT&C,44962.81
AA1100,PERMANENT  BASIC PAY,GLEN URQUHART HIGH SCHOOL,1819,TEACHERS,927839.36
AA1101,COVER BASIC PAY,GLEN URQUHART HIGH SCHOOL,1819,SUPPLY,14437.51
AA1110,TECH'N BASIC PAY,GLEN URQUHART HIGH SCHOOL,1819,LABORATORY,19751.52
AB1000,NONTEACHERS,GLEN URQUHART HIGH SCHOOL,1819,NI,4320.9
